project,identifier,title
EJP Soil,10.5281/zenodo.16410830,"Erosion susceptibility of agricultural lands, 2021"
EJP Soil,10.3220/DATA20200203151139,First German Agricultural Soil Inventory – Core dataset
EJP Soil,10.5281/zenodo.15829722,Database Knowledge needs and Initiatives: Qualitative results
EJP Soil,10.5061/dryad.wwpzgmssd,Data from: Biogeographical variation in termite distributions alters global deadwood decay
EJP Soil,10.57745/1OXJV0,"Etude 4pour1000 : Economic data for publication of the article ""A Marginal Abatement Cost Curve for Climate Change Mitigation by additional carbon storage in French agricultural land"""
EJP Soil,10.6084/m9.figshare.21266463,Mathematical techniques to remove moisture effects from visible–near-infrared–shortwave-infrared soil spectra—review
EJP Soil,10.20387/bonares-40kc-2661,Provision of Metadata of European Agricultural Long-Term Experiments through BonaRes and EJP SOIL Collaboration
EJP Soil,10.20387/bonares-jwhj-z839,"A catalog of meta-data about agricultural long-term field experiments in Europe (EJP SOIL 7.3) (Data collection, parent table)"
EJP Soil,10.20387/bonares-q9b3-z989,Open-source Tension-disk Infiltrometer Meta-Databse (OTIM-DB)
EJP Soil,10.57745/YKZDFI,"Etude 4pour1000 : BANCO simulation data for publication of the article ""A Marginal Abatement Cost Curve for Climate Change Mitigation by additional carbon storage in French agricultural land"""
EJP Soil,10.5281/zenodo.13988072,"Dataset of physical, biological and chemical soil properties from 10 European long-term experiments"
EJP Soil,10.6084/m9.figshare.14987130.v9,Software EX-TRACT
EJP Soil,10.5281/zenodo.14733169,A collaborative effort to collect Soil datasets in Europe - EJP SOIL metadata catalogue
EJP Soil,10.5281/zenodo.15114209,EJP Soil double sampling study (Task 6.3): physicochemical soil data of 166 Belgian LUCAS 2022 sampling points
EJP Soil,10.6084/m9.figshare.7637210.v2,"A global, empirical, harmonised dataset of Soil Organic Carbon under Perennial Crops"
EJP Soil,10.5281/zenodo.14845589,Data from: Comparison and evaluation of sampling and eDNA metabarcoding protocols to assess soil biodiversity in Belgian LUCAS Biopoints
EJP Soil,10.5281/zenodo.14726493,"European-scale responses of yields, soil organic carbon stocks, nitrous oxide emissions and nitrate leaching to a 20 % reduction in mineral nitrogen fertilization"
EJP Soil,10.5281/zenodo.14777801,EJPSOIL CarboSeq crop and soil management database
EJP Soil,10.5281/zenodo.14748909,"Questionnaire and survey results to the report ""Inventory of the use of models for accounting and policy support (soil quality and soil carbon)"""
EJP Soil,10.5281/zenodo.14527915,Dataset to Schiedung et al. (2025): Separating fast from slow cycling soil organic carbon – A multi-method comparison on land use change sites
EJP Soil,10.5281/zenodo.14515034,Grassland database WP4 CarboSeq
EJP Soil,10.5281/zenodo.14142546,INSURE_fielddata_WP1_07-11-2024_Lang
EJP Soil,10.5281/zenodo.14242897,Root Shoot Database
EJP Soil,10.5281/zenodo.14186760,EJPSOIL ARTEMIS on-farm monitoring of soil health and ecosystems services (meta)data
EJP Soil,10.5281/zenodo.14161652,INSURE DK Vejrumbro 2020_21
EJP Soil,10.5281/zenodo.14133305,STEROPES_Dataset13
EJP Soil,10.5281/zenodo.14055904,Modelling CO2 emissions of cultivated and rewetted peat soils with SWAP-ANIMO - Dataset
EJP Soil,10.5281/zenodo.14104483,"Soil grid data for agricultural fields in Spain for STEROPES (EJP Soil) project (ECe, texture, soil organic carbon, pH)"
EJP Soil,10.5281/zenodo.14046545,Open-source database of N2O emissions related to SOC-sequestration measures
EJP Soil,10.5281/zenodo.13947787,"Supporting data to ""Pedotransfer functions versus model structure: What drives uncertainty in agro-hydrological modelling?"""
EJP Soil,10.5281/zenodo.13753159,D3.2_20240117_ProbeField_Preprosessed_Spectra_V1
EJP Soil,10.5281/zenodo.13757029,D3.3_20230919_ProbeField_Aligned_Spectra_V1
EJP Soil,10.5281/zenodo.13744546,CSIC-ProbeField SpectralDatasetMetadata-D4.2
EJP Soil,10.5281/zenodo.12801430,"Dataset for ""Towards an ecosystem capacity to stabilise organic carbon in soils"""
EJP Soil,10.5281/zenodo.12582998,New parameter estimates for exogenous organic materials including biochar for the Rothamsted carbon model
EJP Soil,10.5281/zenodo.11204174,Agroscope_SoilSpectralLibrary _2024
EJP Soil,10.5281/zenodo.10907112,Database to: Effectiveness of soil management strategies for mitigation of N2O emissions in European arable land: A meta-analysis
EJP Soil,10.5281/zenodo.10068907,Supporting data to Turek et al. 2023 SOIL https://doi.org/10.5194/egusphere-2023-1077
EJP Soil,10.5281/zenodo.7304562,Dataset to Schiedung et al (2023): Soil carbon losses due to priming moderated by adaptation and legacy effects
EJP Soil,10.5281/zenodo.8224594,Characterization of the Agroecological Zones of Europe
EJP Soil,10.5281/zenodo.8218882,Zonal and raster data for i-SoMPE WP1 R Project
EJP Soil,10.5281/zenodo.6511370,i-SoMPE Inventories A and B: open factor data
EJP Soil,10.5281/zenodo.6511349,i-SoMPE metadata of the data base of the inventory (A and B)
EJP Soil,10.5281/zenodo.6511048,i-SoMPE Inventory A: List and description of 58 innovative soil management practices
EJP Soil,10.5281/zenodo.6510954,i-SoMPE Inventory A: Adoption rate of 58 innovative soil management practices
EJP Soil,10.5281/zenodo.15650970,Mechanisms of Soil Carbon and Nitrogen Sequestration Under Tillage-fertilizer Interactions: Field study in Loess Plateau
EJP Soil,10.5281/zenodo.14773242,Covariate datasets used to predict soil property distribution in EJP Soil mapping
AGROECOseqC,10.5281/zenodo.14525072,D1.2.1_AGROECOseqC overall dataset_10.5281zenodo.14525072_Embargued_251031
AGROECOseqC,10.5281/zenodo.14414052,"Supplementary material 1_Article  Context-Driven Agroecological Intensification to support Soil Health and C accrual: Insights from a Multi-site Experiment"" by Trinchera et al. ."
AGROECOseqC,10.5281/zenodo.14169065,D7.1.2.1_Selected parameters_indicators_10.5281zenodo.14169065
AGROECOseqC,10.5281/zenodo.14169030,D2.2.1.2_Mycorrhizal colonization intensity database_WP2_10.5281zenodo.14169030
AGROECOseqC,10.5281/zenodo.14168988,D2.1.2_Plant communities' functional traits_WP2_10.5281zenodo.14168988
AGROECOseqC,10.5281/zenodo.14168515,D1.2.1_AGROECOseqC overall dataset_10.5281zenodo.14168515
AGROECOseqC,10.5281/zenodo.14168475,D1.2.1_AGROECOseqC overall dataset_10.5281zenodo.14162190
AGROECOseqC,10.5281/zenodo.14007657,AGROECOseqC overall dataset
CarboSeq,10.5281/zenodo.14777801,EJPSOIL CarboSeq crop and soil management database
CarboSeq,10.5281/zenodo.14515034,Grassland database WP4 CarboSeq
CarboSeq,10.5281/zenodo.14242897,Root Shoot Database
CarboSeq,10.5281/zenodo.14046545,Open-source database of N2O emissions related to SOC-sequestration measures
CarboSeq,10.5281/zenodo.12801430,"Dataset for ""Towards an ecosystem capacity to stabilise organic carbon in soils"""
CarboSeq,10.5281/zenodo.12582998,New parameter estimates for exogenous organic materials including biochar for the Rothamsted carbon model
CarboSeq,10.5281/zenodo.8399180,EJPSOIL CarboSeq agrometeorological datasets
CarboSeq,10.5281/zenodo.7966076,"Dataset of manuscript ""No detectable upper limit of mineral associated carbon in temperate agricultural soils"""
EnergyLink,10.5281/zenodo.13271731,The effect of crop diversification and season on microbial carbon use efficiency across a European pedoclimatic gradient
EnergyLink,10.5281/zenodo.10137003,Liming effects on microbial carbon use efficiency and its potential consequences for soil organic carbon stocks
EOM4SOIL,10.5281/zenodo.14186466,Database for N2O emissions after EOM application
EOM4SOIL,10.5281/zenodo.14179949,EOM4SOIL - Physico-chemical characteristics of external organic matters (EOMs) database
EOM4SOIL,10.5281/zenodo.14170029,DatabaseNH3 : EOM ammonia emission factor measured with INRAE Caract'Air device (under controlled conditions)
EOM4SOIL,10.5281/zenodo.14168345,Measurements on STEs
EOM4SOIL,10.5281/zenodo.14168985,"Dataset for Deliverable D6.1 ""Multicriteria evaluation system for EOMs use"""
EOM4SOIL,10.5281/zenodo.14056255,N2O emission from mesocosms
EOM4SOIL,10.5281/zenodo.14161752,A stocktaking of European mid- and long-term experiments dealing with the application of external organic matter (EJP SOIL - EOM4SOIL - D 3.1.1)
MINOTAUR,10.5281/zenodo.14142807,Datasets of the bioindicators and functions measured in European LTEs across a gradient of pedoclimatic conditions and different management practices
MINOTAUR,10.5281/zenodo.14245502,Biodiversity data and associated data from the EJP-Soil Minotaur project
MINOTAUR,10.5281/zenodo.14178082,Dataset of the assessment of the sensitivity of soil communities under climate change
ProbeField,10.5281/zenodo.16261617,Dataset to: Austrian NIR Soil Spectral Library for Soil Health Assessments
ProbeField,10.5281/zenodo.14065209,D4.1 Review on Accuracy of Proximal Soil Sensors Dataset
ProbeField,10.5281/zenodo.14019130,D2.2_20240423_ProbeField_SSL_Metadata_V2
ProbeField,10.5281/zenodo.13753159,D3.2_20240117_ProbeField_Preprosessed_Spectra_V1
ProbeField,10.5281/zenodo.13757029,D3.3_20230919_ProbeField_Aligned_Spectra_V1
ProbeField,10.5281/zenodo.11204174,Agroscope_SoilSpectralLibrary _2024
ProbeField,10.5281/zenodo.14104497,D4.3_Probefield_Dataset
SOMMIT,10.5281/zenodo.14179528,STICS model dataset
SOMMIT,10.5281/zenodo.14178369,Dataset on laboratory soil greenhouse gas fluxes and soil microbial parameters as affected by soil management strategies in SOMMIT long term experiments
SOMMIT,10.5281/zenodo.14177682,Field data of soil greenhouse gas fluxes from SOMMIT long-term experiments
SOMMIT,10.5281/zenodo.10959077,Knowledge gaps on trade-offs of soil carbon sequestration related to soil management strategies
SOMMIT,10.5281/zenodo.10907112,Database to: Effectiveness of soil management strategies for mitigation of N2O emissions in European arable land: A meta-analysis
TRACE-Soils,10.5281/zenodo.13468926,"A global dataset of experimental agricultural management on soil carbon accrual, its synergies and trade-offs"
TRACE-Soils,10.5281/zenodo.14162367,"TRACE-Soils, Dynamics and kinetics of phosphatase activity in European agricultural soils under long-term tillage reduction practices"
TRACE-Soils,10.5281/zenodo.13913151,"TRACE-Soils, LTEs soil physical data"
TRACE-Soils,10.5281/zenodo.12515043,TRACE-Soils LTER (long-term ecological research) metadata
STEROPES,10.5281/zenodo.14135622,"Soil grid data for 3 agricultural fields in Italy (Soil Moisture, soil organic carbon)"
BioCASH,10.5281/zenodo.14170713,EJP Soil BioCASH: Deliverable 2.3
PRAC2LIV,10.5281/zenodo.14093726,EJPSOIL PRAC2LIV D3.2 DATA-EndUsers.7z
PRAC2LIV,10.5281/zenodo.14092408,EJPSOIL PRAC2LIV D3.1 DATA-NCs.7z
SoilX,10.5281/zenodo.13988072,"Dataset of physical, biological and chemical soil properties from 10 European long-term experiments"
SoilX,10.5281/zenodo.15730136,Farm structural information and questionnaire responses - SoilX WP4
SoilX,10.5281/zenodo.15730034,Q sortings of factors influencing farmers' soil management - SoilX WP4
SoilX,10.5281/zenodo.13947787,"Supporting data to ""Pedotransfer functions versus model structure: What drives uncertainty in agro-hydrological modelling?"""
SoilX,10.5281/zenodo.10068907,Supporting data to Turek et al. 2023 SOIL https://doi.org/10.5194/egusphere-2023-1077
ARTEMIS,10.5281/zenodo.14264386,Data on the quantitative response of microbial populations to prolonged drought and soil wetness under cold and warm spring conditions. Simulation in Phytotrone
ARTEMIS,10.5281/zenodo.14258874,Database of field experiments on the effect of agro-ecological strategies on N2O emissions in European arable land
ARTEMIS,10.5281/zenodo.14246940,Database of field experiments on the effect of organic farming on SOC in European arable land
ARTEMIS,10.5281/zenodo.14246815,ARTEMIS project - Long-term field experiment (LTE) dataset for crop modelling
ARTEMIS,10.5281/zenodo.14258149,Database of field experiments on the effect of organic farming on yield and yield stability in European arable land
ARTEMIS,10.5281/zenodo.14186760,EJPSOIL ARTEMIS on-farm monitoring of soil health and ecosystems services (meta)data
iSoMPE,10.5281/zenodo.8224594,Characterization of the Agroecological Zones of Europe
iSoMPE,10.5281/zenodo.8218882,Zonal and raster data for i-SoMPE WP1 R Project
iSoMPE,10.5281/zenodo.6511370,i-SoMPE Inventories A and B: open factor data
iSoMPE,10.5281/zenodo.6511349,i-SoMPE metadata of the data base of the inventory (A and B)
iSoMPE,10.5281/zenodo.6511048,i-SoMPE Inventory A: List and description of 58 innovative soil management practices
iSoMPE,10.5281/zenodo.6510954,i-SoMPE Inventory A: Adoption rate of 58 innovative soil management practices
C-arouNd,10.5281/zenodo.15468692,C-arouNd Characteristics of soils used in an analysis of vulnerability of soil carbon to decomposition in relation to land use: New Zealand
C-arouNd,10.5281/zenodo.14603724,Hungarian LTE Dateset
C-arouNd,10.5281/zenodo.14034500,TESTING-Zenodo hands on
C-arouNd,10.48432/CUBKQ4,EJP SOIL C-arouNd Metadata of Long-term field experiments
C-arouNd,10.5281/zenodo.10959618,EJP SOIL C-arouNd - (Meta)data of Long-term field experiments (LET)
C-arouNd,10.5281/zenodo.16093985,Long-term field data and metadata from_Estonia_ID_19_2023yr
C-arouNd,10.5281/zenodo.15281506,South Africa Longterm trial data
C-arouNd,10.5281/zenodo.15277024,Management of rice straw in rice-soybean succession in tropical lowland
C-arouNd,10.5281/zenodo.13945068,"South Africa Longterm trial data-CO2 Fluxes, POM, SOC"
C-arouNd,10.5281/zenodo.13645103,Ghana African Dark Earths Historical Data - C-arouNd
